time,P
-6.399999999999999,0.33545798980033803
-6.299999999999997,0.35112619404911194
-6.199999999999996,0.3668196794553154
-6.099999999999994,0.3825290655737579
-6.0,0.3982449719592477
-5.899999999999999,0.4139578920799816
-5.799999999999997,0.4296578150576934
-5.699999999999996,0.44533460392750296
-5.599999999999994,0.4609781217245301
-5.5,0.4765782314838937
-5.399999999999999,0.4921247962407158
-5.299999999999997,0.5076076790301152
-5.199999999999996,0.5230167428872118
-5.099999999999994,0.5383418508471255
-5.0,0.5535728659449751
-4.899999999999999,0.5686996800954841
-4.799999999999997,0.5837123007317782
-4.699999999999996,0.5986007641665855
-4.599999999999994,0.6133551067126344
-4.5,0.627965364682652
-4.399999999999999,0.6424215743893686
-4.299999999999997,0.6567137721455115
-4.199999999999996,0.6708319942638088
-4.099999999999994,0.6847662770569888
-4.0,0.6985066568377787
-3.8999999999999986,0.7120433596308967
-3.799999999999997,0.7253673703090107
-3.6999999999999957,0.7384698634567772
-3.5999999999999943,0.7513420136588531
-3.5,0.7639749954998943
-3.3999999999999986,0.7763599835645593
-3.299999999999997,0.7884881524375039
-3.1999999999999957,0.8003506767033849
-3.0999999999999943,0.8119387309468591
-3.0,0.8232434897525824
-2.8999999999999986,0.83425646283416
-2.799999999999997,0.8449705004209818
-2.6999999999999957,0.8553787878713852
-2.5999999999999943,0.8654745105437077
-2.5,0.8752508537962861
-2.3999999999999986,0.8847010029874592
-2.299999999999997,0.8938181434755639
-2.1999999999999957,0.9025954606189376
-2.0999999999999943,0.9110261397759177
-2.0,0.9191033663048412
-1.8999999999999986,0.9268207711465121
-1.7999999999999972,0.9341737675715936
-1.6999999999999957,0.9411582144332152
-1.5999999999999943,0.9477699705845061
-1.5,0.9540048948785952
-1.3999999999999986,0.9598588461686126
-1.2999999999999972,0.9653276833076873
-1.1999999999999957,0.9704072651489484
-1.0999999999999943,0.9750934505455253
-1.0,0.979382098350547
-0.8999999999999986,0.9832695744605897
-0.7999999999999972,0.986754272946014
-0.6999999999999957,0.9898350949206269
-0.5999999999999943,0.9925109414982357
-0.5,0.9947807137926472
-0.3999999999999986,0.996643312917669
-0.29999999999999716,0.9980976399871081
-0.19999999999999574,0.9991425961147715
-0.09999999999999432,0.9997770824144664
0.0,1.0
0.09999999999999432,0.9998107633905684
0.19999999999999574,0.9992108407269236
0.29999999999999716,0.9982022135552066
0.3999999999999986,0.9967868634215582
0.5,0.9949667718721195
0.5999999999999943,0.9927439204530316
0.6999999999999957,0.9901202907104352
0.7999999999999972,0.9870978641904713
0.8999999999999986,0.983678622439281
1.0,0.9798645470030052
1.0999999999999943,0.9756580861927281
1.1999999999999957,0.971063555379305
1.2999999999999972,0.9660857366985348
1.3999999999999986,0.9607294122862162
1.5,0.9549993642781481
1.5999999999999943,0.9489003748101296
1.6999999999999957,0.9424372260179584
1.7999999999999972,0.935614700037434
1.8999999999999986,0.9284375790043548
2.0,0.9209106450545197
2.0999999999999943,0.9130390563450891
2.1999999999999957,0.904829475118666
2.299999999999997,0.8962889396392162
2.3999999999999986,0.887424488170705
2.5,0.8782431589770975
2.5999999999999943,0.86875199032236
2.6999999999999957,0.858958020470456
2.799999999999997,0.8488682876853517
2.8999999999999986,0.8384898302310122
3.0,0.827829686371403
3.0999999999999943,0.8168951491832477
3.1999999999999957,0.8056945309942988
3.299999999999997,0.7942363989450691
3.3999999999999986,0.7825293201760705
3.5,0.7705818618278147
3.5999999999999943,0.7584025910408146
3.6999999999999957,0.7460000749555804
3.799999999999997,0.7333828807126247
3.8999999999999986,0.7205595754524595
4.0,0.7075387263155966
4.099999999999994,0.6943290195945302
4.199999999999996,0.6809396181896772
4.299999999999997,0.6673798041534389
4.399999999999999,0.6536588595382153
4.5,0.6397860663964068
4.599999999999994,0.6257707067804145
4.699999999999996,0.6116220627426364
4.799999999999997,0.597349416335474
4.899999999999999,0.5829620496113272
5.0,0.5684692446225965
5.099999999999994,0.5538802682237846
5.199999999999996,0.5392043264777979
5.299999999999997,0.5244506102496475
5.399999999999999,0.5096283104043434
5.5,0.4947466178068959
5.599999999999994,0.47981472332231595
5.699999999999996,0.46484181781561157
5.799999999999997,0.4498370921517939
5.899999999999999,0.43480973719587307
6.0,0.41976894381285906
6.099999999999994,0.40472376794673204
6.199999999999996,0.3896827258573448
6.299999999999997,0.3746541988835223
6.399999999999999,0.3596465683640884
6.5,0.34466821563786704
6.599999999999994,0.32972752204368305
6.699999999999996,0.31483286892035833
6.799999999999997,0.2999926376067178
6.899999999999999,0.2852152094415853
7.0,0.2705089657637847
7.099999999999994,0.2558820576817054
7.199999999999996,0.24134171538199145
7.299999999999997,0.22689493882085437
7.399999999999999,0.21254872795450475
7.5,0.19831008273915304
7.599999999999994,0.1841860031310108
7.699999999999996,0.1701834890862866
7.799999999999997,0.15630954056119195
7.899999999999999,0.14257115751193736
8.0,0.12897533989473337
8.099999999999994,0.1155287925445786
8.199999999999996,0.10223703981161732
8.299999999999997,0.0891053109247838
8.399999999999999,0.07613883511301137
8.5,0.06334284160523332
8.599999999999994,0.05072255963038386
8.699999999999996,0.03828321841739449
8.799999999999997,0.026030047195199454
8.899999999999999,0.013968275192732055
9.0,0.002103131638925622
9.099999999999994,-0.009560481547648976
9.199999999999996,-0.021018971689876233
9.299999999999997,-0.0322690734210014
9.399999999999999,-0.04330752137427056
9.5,-0.0541310501829298
9.599999999999994,-0.06473639448022445
9.699999999999996,-0.07512028889940212
9.799999999999997,-0.08527946807370812
9.899999999999999,-0.09521066663638855
10.0,-0.10491061922068946
10.099999999999994,-0.11437638835529626
10.199999999999996,-0.12360634815065616
10.299999999999997,-0.13259920061265432
10.399999999999999,-0.14135364774717651
10.5,-0.14986839156010862
10.599999999999994,-0.1581421340573359
10.699999999999996,-0.1661735772447453
10.799999999999997,-0.1739614231282221
10.899999999999999,-0.1815043737136521
11.0,-0.18880113100692114
11.099999999999994,-0.19585069782442976
11.199999999999996,-0.20265328022464085
11.299999999999997,-0.209209385076531
11.399999999999999,-0.21551951924907728
11.5,-0.2215841896112568
11.599999999999994,-0.22740390303204622
11.699999999999996,-0.23297916638042349
11.799999999999997,-0.2383104865253653
11.899999999999999,-0.24339837033584866
12.0,-0.24824332468085075
12.099999999999994,-0.25284610864915913
12.199999999999996,-0.2572084902088057
12.299999999999997,-0.2613324895476322
12.399999999999999,-0.26522012685348073
12.5,-0.2688734223141933
12.599999999999994,-0.27229439611761186
12.699999999999996,-0.2754850684515789
12.799999999999997,-0.2784474595039362
12.899999999999999,-0.2811835894625259
13.0,-0.28369547851519006
13.099999999999994,-0.2859853365661316
13.199999999999996,-0.28805613238499794
13.299999999999997,-0.28991102445779704
13.399999999999999,-0.2915531712705369
13.5,-0.2929857313092257
13.599999999999994,-0.29421186305987146
13.699999999999996,-0.29523472500848247
13.799999999999997,-0.29605747564106666
13.899999999999999,-0.29668327344363216
14.0,-0.2971152769021871
14.099999999999994,-0.2973567657832159
14.199999999999996,-0.29741150497510876
14.299999999999997,-0.29728338064673215
14.399999999999999,-0.2969762789669526
14.5,-0.29649408610463657
14.599999999999994,-0.2958406882286506
14.699999999999996,-0.29501997150786125
14.799999999999997,-0.2940358221111349
14.899999999999999,-0.2928921262073381
15.0,-0.2915927699653374
15.099999999999994,-0.29014169374759236
15.199999999999996,-0.2885430546909341
15.299999999999997,-0.286801064125787
15.399999999999999,-0.2849199333825753
15.5,-0.28290387379172344
15.599999999999994,-0.2807570966836557
15.699999999999996,-0.2784838133887962
15.799999999999997,-0.2760882352375692
15.899999999999999,-0.27357457356039916
16.0,-0.27094703968771033
16.099999999999994,-0.2682098391299336
16.199999999999996,-0.2653671541175254
16.299999999999997,-0.2624231610609489
16.4,-0.2593820363706673
16.5,-0.2562479564571438
16.599999999999994,-0.2530250977308418
16.699999999999996,-0.2497176366022239
16.799999999999997,-0.24632974948175354
16.9,-0.24286561277989385
17.0,-0.23932940290710797
17.099999999999994,-0.235725241337184
17.199999999999996,-0.23205702979720805
17.299999999999997,-0.22832861507759158
17.4,-0.2245438439687459
17.5,-0.2207065632610823
17.599999999999994,-0.21682061974501227
17.699999999999996,-0.2128898602109466
17.799999999999997,-0.2089181314492968
17.9,-0.20490928025047414
18.0,-0.20086715340488992
18.099999999999994,-0.19679550661728262
18.199999999999996,-0.1926977312496978
18.299999999999997,-0.18857712757850875
18.4,-0.18443699588008855
18.5,-0.18028063643081021
18.599999999999994,-0.1761113495070471
18.699999999999996,-0.17193243538517167
18.799999999999997,-0.16774719434155724
18.9,-0.1635589266525769
19.0,-0.15937093259460366
19.099999999999994,-0.15518639878030413
19.199999999999996,-0.15100805716751697
